Order,Node Name,ATen Operator,Backend Assignment,Is Delegated?
1,aten_convolution_default,"<EdgeOpOverload: aten.convolution.default>: schema = aten::convolution(Tensor input, Tensor weight, Tensor? bias, SymInt[] stride, SymInt[] padding, SymInt[] dilation, bool transposed, SymInt[] output_padding, SymInt groups) -> Tensor",XNNPACK (Accelerator),YES
2,aten__native_batch_norm_legit_no_training_default,"<EdgeOpOverload: aten._native_batch_norm_legit_no_training.default>: schema = aten::_native_batch_norm_legit_no_training(Tensor input, Tensor? weight, Tensor? bias, Tensor running_mean, Tensor running_var, float momentum, float eps) -> (Tensor, Tensor, Tensor)",XNNPACK (Accelerator),YES
3,getitem,<built-in function getitem>,XNNPACK (Accelerator),YES
4,aten_relu_default,<EdgeOpOverload: aten.relu.default>: schema = aten::relu(Tensor self) -> Tensor,XNNPACK (Accelerator),YES
5,aten_max_pool2d_with_indices_default,"<EdgeOpOverload: aten.max_pool2d_with_indices.default>: schema = aten::max_pool2d_with_indices(Tensor self, int[2] kernel_size, int[2] stride=[], int[2] padding=0, int[2] dilation=1, bool ceil_mode=False) -> (Tensor, Tensor)",ExecuTorch (Portable CPU),NO
6,getitem_1,<built-in function getitem>,ExecuTorch (Portable CPU),NO
7,aten_convolution_default_1,"<EdgeOpOverload: aten.convolution.default>: schema = aten::convolution(Tensor input, Tensor weight, Tensor? bias, SymInt[] stride, SymInt[] padding, SymInt[] dilation, bool transposed, SymInt[] output_padding, SymInt groups) -> Tensor",XNNPACK (Accelerator),YES
8,aten__native_batch_norm_legit_no_training_default_1,"<EdgeOpOverload: aten._native_batch_norm_legit_no_training.default>: schema = aten::_native_batch_norm_legit_no_training(Tensor input, Tensor? weight, Tensor? bias, Tensor running_mean, Tensor running_var, float momentum, float eps) -> (Tensor, Tensor, Tensor)",XNNPACK (Accelerator),YES
9,getitem_2,<built-in function getitem>,XNNPACK (Accelerator),YES
10,aten_relu_default_1,<EdgeOpOverload: aten.relu.default>: schema = aten::relu(Tensor self) -> Tensor,XNNPACK (Accelerator),YES
11,aten_convolution_default_2,"<EdgeOpOverload: aten.convolution.default>: schema = aten::convolution(Tensor input, Tensor weight, Tensor? bias, SymInt[] stride, SymInt[] padding, SymInt[] dilation, bool transposed, SymInt[] output_padding, SymInt groups) -> Tensor",XNNPACK (Accelerator),YES
12,aten__native_batch_norm_legit_no_training_default_2,"<EdgeOpOverload: aten._native_batch_norm_legit_no_training.default>: schema = aten::_native_batch_norm_legit_no_training(Tensor input, Tensor? weight, Tensor? bias, Tensor running_mean, Tensor running_var, float momentum, float eps) -> (Tensor, Tensor, Tensor)",XNNPACK (Accelerator),YES
13,getitem_3,<built-in function getitem>,XNNPACK (Accelerator),YES
14,aten_relu_default_2,<EdgeOpOverload: aten.relu.default>: schema = aten::relu(Tensor self) -> Tensor,XNNPACK (Accelerator),YES
15,aten_convolution_default_3,"<EdgeOpOverload: aten.convolution.default>: schema = aten::convolution(Tensor input, Tensor weight, Tensor? bias, SymInt[] stride, SymInt[] padding, SymInt[] dilation, bool transposed, SymInt[] output_padding, SymInt groups) -> Tensor",XNNPACK (Accelerator),YES
16,aten__native_batch_norm_legit_no_training_default_3,"<EdgeOpOverload: aten._native_batch_norm_legit_no_training.default>: schema = aten::_native_batch_norm_legit_no_training(Tensor input, Tensor? weight, Tensor? bias, Tensor running_mean, Tensor running_var, float momentum, float eps) -> (Tensor, Tensor, Tensor)",XNNPACK (Accelerator),YES
17,getitem_4,<built-in function getitem>,XNNPACK (Accelerator),YES
18,aten_convolution_default_4,"<EdgeOpOverload: aten.convolution.default>: schema = aten::convolution(Tensor input, Tensor weight, Tensor? bias, SymInt[] stride, SymInt[] padding, SymInt[] dilation, bool transposed, SymInt[] output_padding, SymInt groups) -> Tensor",XNNPACK (Accelerator),YES
19,aten__native_batch_norm_legit_no_training_default_4,"<EdgeOpOverload: aten._native_batch_norm_legit_no_training.default>: schema = aten::_native_batch_norm_legit_no_training(Tensor input, Tensor? weight, Tensor? bias, Tensor running_mean, Tensor running_var, float momentum, float eps) -> (Tensor, Tensor, Tensor)",XNNPACK (Accelerator),YES
20,getitem_5,<built-in function getitem>,XNNPACK (Accelerator),YES
21,aten_add_tensor,"<EdgeOpOverload: aten.add.Tensor>: schema = aten::add.Tensor(Tensor self, Tensor other, *, Scalar alpha=1) -> Tensor",XNNPACK (Accelerator),YES
22,aten_relu_default_3,<EdgeOpOverload: aten.relu.default>: schema = aten::relu(Tensor self) -> Tensor,XNNPACK (Accelerator),YES
23,aten_convolution_default_5,"<EdgeOpOverload: aten.convolution.default>: schema = aten::convolution(Tensor input, Tensor weight, Tensor? bias, SymInt[] stride, SymInt[] padding, SymInt[] dilation, bool transposed, SymInt[] output_padding, SymInt groups) -> Tensor",XNNPACK (Accelerator),YES
24,aten__native_batch_norm_legit_no_training_default_5,"<EdgeOpOverload: aten._native_batch_norm_legit_no_training.default>: schema = aten::_native_batch_norm_legit_no_training(Tensor input, Tensor? weight, Tensor? bias, Tensor running_mean, Tensor running_var, float momentum, float eps) -> (Tensor, Tensor, Tensor)",XNNPACK (Accelerator),YES
25,getitem_6,<built-in function getitem>,XNNPACK (Accelerator),YES
26,aten_relu_default_4,<EdgeOpOverload: aten.relu.default>: schema = aten::relu(Tensor self) -> Tensor,XNNPACK (Accelerator),YES
27,aten_convolution_default_6,"<EdgeOpOverload: aten.convolution.default>: schema = aten::convolution(Tensor input, Tensor weight, Tensor? bias, SymInt[] stride, SymInt[] padding, SymInt[] dilation, bool transposed, SymInt[] output_padding, SymInt groups) -> Tensor",XNNPACK (Accelerator),YES
28,aten__native_batch_norm_legit_no_training_default_6,"<EdgeOpOverload: aten._native_batch_norm_legit_no_training.default>: schema = aten::_native_batch_norm_legit_no_training(Tensor input, Tensor? weight, Tensor? bias, Tensor running_mean, Tensor running_var, float momentum, float eps) -> (Tensor, Tensor, Tensor)",XNNPACK (Accelerator),YES
29,getitem_7,<built-in function getitem>,XNNPACK (Accelerator),YES
30,aten_relu_default_5,<EdgeOpOverload: aten.relu.default>: schema = aten::relu(Tensor self) -> Tensor,XNNPACK (Accelerator),YES
31,aten_convolution_default_7,"<EdgeOpOverload: aten.convolution.default>: schema = aten::convolution(Tensor input, Tensor weight, Tensor? bias, SymInt[] stride, SymInt[] padding, SymInt[] dilation, bool transposed, SymInt[] output_padding, SymInt groups) -> Tensor",XNNPACK (Accelerator),YES
32,aten__native_batch_norm_legit_no_training_default_7,"<EdgeOpOverload: aten._native_batch_norm_legit_no_training.default>: schema = aten::_native_batch_norm_legit_no_training(Tensor input, Tensor? weight, Tensor? bias, Tensor running_mean, Tensor running_var, float momentum, float eps) -> (Tensor, Tensor, Tensor)",XNNPACK (Accelerator),YES
33,getitem_8,<built-in function getitem>,XNNPACK (Accelerator),YES
34,aten_add_tensor_1,"<EdgeOpOverload: aten.add.Tensor>: schema = aten::add.Tensor(Tensor self, Tensor other, *, Scalar alpha=1) -> Tensor",XNNPACK (Accelerator),YES
35,aten_relu_default_6,<EdgeOpOverload: aten.relu.default>: schema = aten::relu(Tensor self) -> Tensor,XNNPACK (Accelerator),YES
