is_delegated_op,event_block_name,event_name,p10 (ms),p50 (ms),p90 (ms),avg (ms),min (ms),max (ms),op_types,delegate_debug_identifier,delegate_backend_name,start_time
False,Default,Method::init,14.009576,14.009576,14.009576,14.009576,14.009576,14.009576,[],,,[787303]
False,Default,Program::load_method,14.013592,14.013592,14.013592,14.013592,14.013592,14.013592,[],,,[786741]
True,Execute,"Transpose (ND, X32) #1",0.272000000000002,0.272000000000002,0.272000000000002,0.272000000000002,0.272000000000002,0.272000000000002,[],"Transpose (ND, X32) #1",XnnpackBackend,[17504192]
True,Execute,"Convolution (NHWC, F32) IGEMM #1",0.26799999999999713,0.26799999999999713,0.26799999999999713,0.26799999999999713,0.26799999999999713,0.26799999999999713,[],"Convolution (NHWC, F32) IGEMM #1",XnnpackBackend,[17776192]
True,Execute,"Convolution (NHWC, F32) DWConv #1",0.277000000000001,0.277000000000001,0.277000000000001,0.277000000000001,0.277000000000001,0.277000000000001,[],"Convolution (NHWC, F32) DWConv #1",XnnpackBackend,[18044192]
True,Execute,"Fully Connected (NC, F32) GEMM #1",0.19900000000000162,0.19900000000000162,0.19900000000000162,0.19900000000000162,0.19900000000000162,0.19900000000000162,[],"Fully Connected (NC, F32) GEMM #1",XnnpackBackend,[18321192]
True,Execute,"Fully Connected (NC, F32) GEMM #2",0.23799999999999955,0.23799999999999955,0.23799999999999955,0.23799999999999955,0.23799999999999955,0.23799999999999955,[],"Fully Connected (NC, F32) GEMM #2",XnnpackBackend,[18520192]
True,Execute,"Convolution (NHWC, F32) DWConv #2",0.22100000000000009,0.22100000000000009,0.22100000000000009,0.22100000000000009,0.22100000000000009,0.22100000000000009,[],"Convolution (NHWC, F32) DWConv #2",XnnpackBackend,[18758192]
True,Execute,"Fully Connected (NC, F32) GEMM #3",0.16499999999999915,0.16499999999999915,0.16499999999999915,0.16499999999999915,0.16499999999999915,0.16499999999999915,[],"Fully Connected (NC, F32) GEMM #3",XnnpackBackend,[18979192]
True,Execute,"Fully Connected (NC, F32) GEMM #4",0.18599999999999994,0.18599999999999994,0.18599999999999994,0.18599999999999994,0.18599999999999994,0.18599999999999994,[],"Fully Connected (NC, F32) GEMM #4",XnnpackBackend,[19144192]
True,Execute,"Convolution (NHWC, F32) DWConv #3",0.18299999999999983,0.18299999999999983,0.18299999999999983,0.18299999999999983,0.18299999999999983,0.18299999999999983,[],"Convolution (NHWC, F32) DWConv #3",XnnpackBackend,[19330192]
True,Execute,"Fully Connected (NC, F32) GEMM #5",0.18799999999999883,0.18799999999999883,0.18799999999999883,0.18799999999999883,0.18799999999999883,0.18799999999999883,[],"Fully Connected (NC, F32) GEMM #5",XnnpackBackend,[19513192]
True,Execute,Add (ND) #1,0.1620000000000026,0.1620000000000026,0.1620000000000026,0.1620000000000026,0.1620000000000026,0.1620000000000026,[],Add (ND) #1,XnnpackBackend,[19701192]
True,Execute,"Fully Connected (NC, F32) GEMM #6",0.18799999999999883,0.18799999999999883,0.18799999999999883,0.18799999999999883,0.18799999999999883,0.18799999999999883,[],"Fully Connected (NC, F32) GEMM #6",XnnpackBackend,[19863192]
True,Execute,"Convolution (NHWC, F32) DWConv #4",0.15500000000000114,0.15500000000000114,0.15500000000000114,0.15500000000000114,0.15500000000000114,0.15500000000000114,[],"Convolution (NHWC, F32) DWConv #4",XnnpackBackend,[20051192]
True,Execute,"Fully Connected (NC, F32) GEMM #7",0.17199999999999704,0.17199999999999704,0.17199999999999704,0.17199999999999704,0.17199999999999704,0.17199999999999704,[],"Fully Connected (NC, F32) GEMM #7",XnnpackBackend,[20206192]
True,Execute,"Fully Connected (NC, F32) GEMM #8",0.1620000000000026,0.1620000000000026,0.1620000000000026,0.1620000000000026,0.1620000000000026,0.1620000000000026,[],"Fully Connected (NC, F32) GEMM #8",XnnpackBackend,[20378192]
True,Execute,"Convolution (NHWC, F32) DWConv #5",0.16300000000000026,0.16300000000000026,0.16300000000000026,0.16300000000000026,0.16300000000000026,0.16300000000000026,[],"Convolution (NHWC, F32) DWConv #5",XnnpackBackend,[20540192]
True,Execute,"Fully Connected (NC, F32) GEMM #9",0.15399999999999991,0.15399999999999991,0.15399999999999991,0.15399999999999991,0.15399999999999991,0.15399999999999991,[],"Fully Connected (NC, F32) GEMM #9",XnnpackBackend,[20703192]
True,Execute,Add (ND) #2,0.11999999999999744,0.11999999999999744,0.11999999999999744,0.11999999999999744,0.11999999999999744,0.11999999999999744,[],Add (ND) #2,XnnpackBackend,[20857192]
True,Execute,"Fully Connected (NC, F32) GEMM #10",0.11100000000000065,0.11100000000000065,0.11100000000000065,0.11100000000000065,0.11100000000000065,0.11100000000000065,[],"Fully Connected (NC, F32) GEMM #10",XnnpackBackend,[20977192]
True,Execute,"Convolution (NHWC, F32) DWConv #6",0.11899999999999977,0.11899999999999977,0.11899999999999977,0.11899999999999977,0.11899999999999977,0.11899999999999977,[],"Convolution (NHWC, F32) DWConv #6",XnnpackBackend,[21088192]
True,Execute,"Fully Connected (NC, F32) GEMM #11",0.18299999999999983,0.18299999999999983,0.18299999999999983,0.18299999999999983,0.18299999999999983,0.18299999999999983,[],"Fully Connected (NC, F32) GEMM #11",XnnpackBackend,[21207192]
